time,ekf_x,ekf_y,odom_x,odom_y
1751751550.753338,-2.0153467545504227,-0.49831502680190554,-1.9999411135360443,-0.5000009955135908
1751751550.8220882,-2.005434424355876,-0.47740227157728937,-1.9999411220965104,-0.5000009954445348
1751751550.923967,-1.9862923541445623,-0.5179962316948508,-1.9999410713538925,-0.5000009955128596
1751751550.9923904,-2.0068798016770084,-0.5782001151122497,-1.999941063303746,-0.500000995495521
1751751551.0947175,-1.9894176927057403,-0.5804772985538863,-1.9999411024539753,-0.5000009955501209
1751751551.1634595,-1.9862572276792652,-0.5402001024351651,-1.9999411172676465,-0.5000009955143069
1751751551.265313,-2.0091024455326365,-0.530105064731507,-1.999941063081922,-0.5000009955601916
1751751551.3342705,-1.9888040549640527,-0.502989639094328,-1.999941021826537,-0.5000009955645404
1751751551.4356709,-1.9961425246203217,-0.4821373492748853,-1.9999410525422507,-0.5000009955932152
1751751551.528769,-2.042811093700621,-0.5572036663557837,-1.9999410659245833,-0.5000009955831429
1751751551.626434,-1.980748480929593,-0.5043990469211718,-1.9999410460400195,-0.5000009955143495
1751751551.68856,-1.9864475389182314,-0.5202697566150487,-1.9999410384530998,-0.5000009956101324
1751751551.7884066,-1.9900130526264108,-0.49091076308234,-1.999941063009555,-0.5000009956156746
1751751551.8564005,-1.9995641456738336,-0.46850562911703253,-1.9999410436895726,-0.5000009955464797
1751751551.9578466,-2.016348242297312,-0.44644895682953856,-1.9999409936279717,-0.5000009956365432
1751751552.0266423,-1.972287618213968,-0.47102384726621,-1.9999410159296496,-0.5000009956373509
1751751552.1276677,-1.9504578123760312,-0.4952298828839349,-1.9999410503382833,-0.5000009956631374
1751751552.1962235,-1.9930636123943002,-0.5336370259709946,-1.9999410332851175,-0.5000009956457591
1751751552.2976842,-1.9350159889330965,-0.5252867841668889,-1.9999409811914297,-0.5000009955939577
1751751552.3659868,-1.9763248749089461,-0.4992993824249435,-1.9999409935586963,-0.5000009956354151
1751751552.4678526,-2.0094503048264487,-0.5038532160575341,-1.9999410265349737,-0.5000009956133759
1751751552.536787,-1.9722547438195037,-0.5669120470713127,-1.9999410017883488,-0.5000009956930351
1751751552.6383328,-1.992575275321598,-0.47524327469347005,-1.9999409583279393,-0.5000009956907883
1751751552.7068555,-2.0353909017990772,-0.507872762505324,-1.9999409776199073,-0.5000009956332597
1751751552.8089333,-2.0081409758344946,-0.5243480099990179,-1.9999410117292817,-0.5000009956809872
1751751552.8771546,-1.994081983369687,-0.49027873086655693,-1.9999409889198652,-0.5000009956890379
1751751552.978997,-1.9990687636242126,-0.5193813695763315,-1.9999409263585792,-0.5000009957350179
1751751553.047547,-2.006654904786178,-0.4225724120461894,-1.9999409446622742,-0.5000009957465602
1751751553.1489787,-1.9764850262703497,-0.4926451958123391,-1.9999409802908186,-0.5000009957562206
1751751553.2174678,-2.044148839426204,-0.5151638968489477,-1.9999409642801502,-0.5000009956881729
1751751553.319286,-2.0402487995217498,-0.5239172787539392,-1.9999409191266828,-0.5000009957796725
1751751553.3878562,-2.0413668200018007,-0.49688493155715996,-1.9999409386605,-0.5000009957920949
1751751553.489571,-2.040945868842567,-0.486320937624919,-1.9999409301179072,-0.5000009957118219
1751751553.5585382,-2.005973069816675,-0.48046946165353716,-1.999940913456345,-0.5000009957810414
1751751553.6602373,-1.9844129195054538,-0.48227496847500084,-1.9999409364601883,-0.5000009958135109
1751751553.728973,-1.996587746052882,-0.47458469877477727,-1.9999409412108324,-0.5000009957929711
1751751553.830578,-1.9401779299429758,-0.49771294579539715,-1.996476085148259,-0.5000010047475514
1751751553.8991296,-1.991740016898069,-0.5013701233401152,-1.98899927796256,-0.4999957099255382
1751751554.0008612,-1.946977846408048,-0.48050508120173674,-1.9761313384397954,-0.4995255511656754
1751751554.0691855,-1.9286481345201167,-0.4346256959561677,-1.9664944207971626,-0.49844610097280134
1751751554.170719,-1.9469563995587476,-0.46300029106022156,-1.9497107695095572,-0.49515521729083617
1751751554.23958,-1.9350798389838613,-0.5205753277458062,-1.9377223624186752,-0.49175607860323406
1751751554.3417642,-1.906749020351935,-0.5033079563319707,-1.9169703211148978,-0.48390733938245567
1751751554.410146,-1.8606771423668744,-0.5047311518777956,-1.9050598608534806,-0.47820037684401356
1751751554.5119462,-1.823447957379473,-0.4695967331731911,-1.8866271597159125,-0.46731963175619284
1751751554.580124,-1.8742234340876769,-0.4270698595825363,-1.8745307262244677,-0.45873568212165416
1751751554.6824064,-1.8567261531508479,-0.4256413900637798,-1.8581591934589798,-0.4449332625561258
1751751554.7512226,-1.8576418247463207,-0.4350431950816166,-1.848722855650069,-0.4355899889534089
1751751554.8529482,-1.879160167590576,-0.4130687238851723,-1.8341349854589617,-0.4188199447800853
1751751554.92146,-1.7916636985970038,-0.4248314336084137,-1.8252150140466432,-0.4069485472983922
1751751555.0232418,-1.850750441833546,-0.4244607438080828,-1.8132418052253465,-0.3882563288726544
1751751555.0922704,-1.818546606170472,-0.38625903585897375,-1.806445707153975,-0.3753109981518891
1751751555.193559,-1.765313950787208,-0.34987883883393067,-1.7980735552639655,-0.35522485921830677
1751751555.261923,-1.7983788195490942,-0.3657147547970445,-1.7934593875458178,-0.34117686094381294
1751751555.3636782,-1.77252001747675,-0.3166976017914193,-1.7878939480106073,-0.31981902367765913
1751751555.4322257,-1.809508205015387,-0.2632504971837223,-1.784845033027263,-0.30526802507309614
1751751555.5336545,-1.7536832177917534,-0.2925998885778108,-1.7814027564812704,-0.28317473008521726
1751751555.6025965,-1.7342942362301772,-0.3355305912291933,-1.7796249521983833,-0.268394796264083
1751751555.7038214,-1.7507197597703779,-0.2806905320250621,-1.7779704467598179,-0.24609976119045798
1751751555.7722857,-1.7895361288890146,-0.2221798491824387,-1.7772979452924131,-0.2315850319259194
1751751555.8749263,-1.7660412081077543,-0.2556858917541077,-1.7767834115154968,-0.20999143308511295
1751751555.9438753,-1.7572746564715727,-0.1597597555498531,-1.7766797198333588,-0.19504820867735448
1751751556.0444808,-1.8054510657034213,-0.20082837235322631,-1.777029250039258,-0.17267340350976848
1751751556.1137483,-1.8162426427744174,-0.1181546680185607,-1.77764825605342,-0.1585491514127909
