time,kf_x,kf_y,odom_x,odom_y
1751764256.1597805,-1.9999395505550175,-0.500001004003084,-1.9999414403950964,-0.5000009948293865
1751764256.228269,-1.9999399390846628,-0.5000010018186137,-1.9999414598550473,-0.5000009948797007
1751764256.3299084,-1.999940248197242,-0.5000010021864947,-1.9999414960614414,-0.5000009948536486
1751764256.398762,-1.999940349681183,-0.5000010019482366,-1.9999414721942383,-0.5000009948919741
1751764256.5005152,-1.9999395773645874,-0.5000010005317782,-1.9999414245549483,-0.5000009948765085
1751764256.5694008,-1.9999397368781846,-0.500000999813975,-1.9999414402702844,-0.5000009947981924
1751764256.6708014,-1.9999398349350086,-0.5000010014812032,-1.9999414718556427,-0.500000994850988
1751764256.739291,-1.9999399933741628,-0.5000010057537563,-1.9999414454440427,-0.5000009949350789
1751764256.8418527,-1.999939860810459,-0.5000010012924923,-1.9999413997408673,-0.500000994937294
1751764256.9311266,-1.9999399120304233,-0.5000010007897525,-1.9999414219724667,-0.5000009949136992
1751764257.0303674,-1.9999400559611127,-0.5000010001336155,-1.9999414548800554,-0.5000009949486767
1751764257.0985441,-1.999939652362173,-0.5000010021290031,-1.9999414353393978,-0.5000009948535592
1751764257.1977444,-1.9999398617579085,-0.5000010040670937,-1.9999413725212218,-0.5000009949755557
1751764257.2657194,-1.9999398708090783,-0.5000010017731861,-1.9999413871104006,-0.50000099498524
1751764257.3671305,-1.9999399956323325,-0.5000010013250379,-1.9999414227496852,-0.5000009949963149
1751764257.4353166,-1.9999397929228095,-0.5000009994489187,-1.9999414082272426,-0.5000009949693466
1751764257.536959,-1.999939496186229,-0.5000010039758016,-1.9999413558123114,-0.5000009948950741
1751764257.6056786,-1.9999396377164085,-0.500001003073801,-1.9999413678597309,-0.5000009950247113
1751764257.7077792,-1.9999400036903099,-0.5000010014503469,-1.999941403186568,-0.5000009949912854
1751764257.7766037,-1.9999402422070807,-0.5000010015640047,-1.9999413827111223,-0.5000009950312558
1751764257.8776562,-1.99993950327294,-0.5000010004776209,-1.9999413400939547,-0.5000009950179162
1751764257.946496,-1.9999396798562843,-0.5000009999270918,-1.9999413591163069,-0.5000009949407488
1751764258.047949,-1.999939782730747,-0.5000010016220342,-1.999941395604892,-0.5000009949949995
1751764258.1172292,-1.9999399463029521,-0.500001005904575,-1.9999413724250548,-0.5000009950798665
1751764258.2188194,-1.9999398123620997,-0.500001001491829,-1.99878669884204,-0.5000009991400176
1751764258.2872171,-1.980334367086417,-0.5000011020956071,-1.993010897732566,-0.500001013110039
1751764258.3890333,-1.9466814738304319,-0.4998716812548069,-1.9797686175182088,-0.49980745666715704
1751764258.4575708,-1.8998044237225198,-0.4989850835509916,-1.9683108252693,-0.499026261999148
1751764258.5591877,-1.873785096388454,-0.4976445012127443,-1.9525334572839619,-0.4967755939026343
1751764258.628445,-1.858680673455386,-0.49425901536831224,-1.9415671630095184,-0.494202635668314
1751764258.729836,-1.8388903994265533,-0.49079169819055446,-1.9241781270860305,-0.4885661277745361
1751764258.7981653,-1.818717858904813,-0.4845226334493129,-1.9133920970664346,-0.4840585848951251
1751764258.9000535,-1.8046932115855707,-0.4787714145211297,-1.8957719464752874,-0.4749066197118498
1751764258.968422,-1.7808124014844517,-0.4683366401242117,-1.88456508399587,-0.4678199901986602
1751764259.069928,-1.7680237058166424,-0.4601172988649265,-1.867506076128719,-0.45484407966754514
1751764259.1382172,-1.742182830236017,-0.44561755079080495,-1.8567948248550437,-0.44519190286614296
1751764259.2400842,-1.7326705070758621,-0.4354832623534638,-1.842096602424402,-0.42958016250802583
1751764259.3086934,-1.716787924995935,-0.4183911424775217,-1.832873208812481,-0.4179716575737201
1751764259.4106867,-1.7105223579463127,-0.40726202058075345,-1.8218860446970695,-0.401436317800816
1751764259.4796095,-1.7034237596322783,-0.3888511486710988,-1.8147295840967246,-0.3884869815685239
1751764259.5808055,-1.6945673633262426,-0.37531625430266724,-1.805464675230311,-0.36856212666490146
1751764259.6495924,-1.6817078677366544,-0.35454858914297993,-1.800345156390557,-0.35475123244189244
1751764259.750774,-1.677830051749088,-0.34076779159249226,-1.7939951332006077,-0.33365662882947167
1751764259.8194013,-1.6704399388800377,-0.31936569295332484,-1.7904190031824996,-0.31921839842584504
1751764259.920971,-1.667902005719351,-0.3048871594112095,-1.7863107116789243,-0.2976771762375379
1751764259.9904094,-1.6678807473826136,-0.28379442786256387,-1.784343909906779,-0.28371437552963696
1751764260.0920343,-1.6668794299217637,-0.2691620909504656,-1.782211554450097,-0.2614687340503827
1751764260.1603677,-1.6621949572140888,-0.24687232551513008,-1.781328726338133,-0.24662221660609604
1751764260.261621,-1.6610015011240016,-0.23194885936712084,-1.7805553396548648,-0.22426835710119145
1751764260.3309798,-1.6609407076850755,-0.20988426238151606,-1.7805268588940197,-0.20974259713641946
1751764260.432855,-1.6643212235598197,-0.19577030551579505,-1.7810948816404444,-0.18821935700072268
1751764260.5014026,-1.6637517340179138,-0.1735702569769375,-1.7817448063316357,-0.17325104363330265
1751764260.6028533,-1.6649700658771143,-0.15925519958685744,-1.7830656661061113,-0.1520794935105847
1751764260.671502,-1.6681854296649354,-0.1373792225691907,-1.7842749345685698,-0.137178867215494
1751764260.7741508,-1.6674677471993333,-0.12246795649259119,-1.7863102702068563,-0.1148765827763431
1751764260.8423579,-1.668668286912613,-0.10019873905967021,-1.7879532578648374,-0.10002377300006038
1751764260.943471,-1.669981206267086,-0.08531856320973098,-1.790440490707661,-0.07773595657718903
1751764261.0126946,-1.672728300200555,-0.06310681720722294,-1.7923014748341413,-0.06290169430775247
1751764261.1140835,-1.6744837949955707,-0.048216192129196776,-1.7950124899635007,-0.040613585681920375
1751764261.18231,-1.6772389869713213,-0.026027576024025563,-1.7968722112494147,-0.025783005664426054
1751764261.2842774,-1.680554030597562,-0.011888028979997916,-1.7997606966390756,-0.004745802434779767
1751764261.3530407,-1.6856097349239387,0.009843510867767573,-1.8019491704412312,0.010052000115395475
1751764261.4545457,-1.685889989275391,0.024347699543613436,-1.8051351811018357,0.03146628345293364
1751764261.5231063,-1.6919362889032468,0.045701725997766805,-1.8072615261303908,0.04587338236979395
1751764261.6244988,-1.692119271872056,0.060379533451972014,-1.8104306263153158,0.06770065550691391
1751764261.6933956,-1.6961677101384396,0.08166263834442868,-1.8124209503924071,0.08174125780279637
1751764261.7948864,-1.6981809020500487,0.09635775565184032,-1.8153580138792091,0.1040284852210534
1751764261.8631744,-1.699441645811075,0.11804040082820767,-1.8169759077327536,0.11813476613560632
1751764261.9647517,-1.7028557516311311,0.13196364750003722,-1.8189605703931369,0.13854272640331627
1751764262.0335088,-1.7102487261867019,0.1525595290045319,-1.8201526688123422,0.15268086488798532
1751764262.1351607,-1.7068611773338942,0.1675274376247977,-1.8217220102852751,0.17469862081919862
1751764262.204142,-1.706881648242422,0.1890143395976092,-1.822541956167683,0.18886890805344142
