time,ekf_x,ekf_y,odom_x,odom_y
1751759740.1869104,-2.1624142309598917,-0.5298436071720471,-1.9999408310598659,-0.500000996010531
1751759740.2571561,-2.1041440391597277,-0.5112951962137832,-1.9999408211483787,-0.5000009959443764
1751759740.357487,-2.156974531138708,-0.5367478298467472,-1.9999407728993615,-0.5000009959872634
1751759740.4276128,-2.1186656963709556,-0.525224419637398,-1.999940783492262,-0.5000009960447859
1751759740.5276961,-2.1420197392114244,-0.5306956275252781,-1.9999407872868826,-0.5000009959677151
1751759740.5977988,-2.156463588755948,-0.5332689496150533,-1.9999407620600402,-0.5000009960307621
1751759740.697778,-2.1306257839229628,-0.5254822676103764,-1.9999407847716992,-0.5000009960790573
1751759740.7670872,-2.1146581152222446,-0.5209292388796319,-1.9999407956704705,-0.5000009960479297
1751759740.8678555,-2.1638084283526267,-0.537056268274178,-1.9999407439114925,-0.5000009960890768
1751759740.937009,-2.123227704015006,-0.539227271806464,-1.9999407505609825,-0.5000009960689853
1751759741.0386858,-2.134308416905138,-0.542610076809985,-1.9999407670873053,-0.5000009960724495
1751759741.1089756,-2.117668045517554,-0.5334279919025204,-1.99994073862199,-0.500000996020796
1751759741.208785,-2.1309609868888697,-0.5294298686978257,-1.9999407420321385,-0.5000009960678925
1751759741.3100746,-2.129351330735215,-0.5252931509363878,-1.9999407636997097,-0.500000996123764
1751759741.3957934,-2.1442189549089847,-0.5256642630964031,-1.9999407373854166,-0.5000009960532843
1751759741.4628134,-2.1021343956783167,-0.5158201352737806,-1.999940705002982,-0.5000009960729803
1751759741.56037,-2.169148040072491,-0.5308658621504199,-1.999940732289722,-0.5000009961573846
1751759741.6302528,-2.097881181306928,-0.520853000762784,-1.9999407520102455,-0.5000009961717068
1751759741.7307832,-2.137192291223127,-0.5265661955925465,-1.9999407312756012,-0.5000009961225972
1751759741.7996984,-2.142051199960495,-0.5251002572566753,-1.999940684975614,-0.5000009961779683
1751759741.9004877,-2.143224575642124,-0.5339561802389738,-1.9999406955805998,-0.5000009961858477
1751759741.9708397,-2.1565477805454307,-0.5386967544006005,-1.9999407290518023,-0.5000009961216606
1751759742.0707152,-2.125500581058807,-0.5364377330261187,-1.9999407025088498,-0.5000009961974613
1751759742.1404228,-2.15720002536883,-0.5368657860844919,-1.9999406584789696,-0.5000009962118268
1751759742.2405217,-2.128161439244828,-0.5289084045560029,-1.9999406833642415,-0.5000009961883843
1751759742.3105924,-2.1304304154303977,-0.5308399262307848,-1.9999407150831385,-0.5000009961891526
1751759742.411207,-2.13728357122408,-0.538069480948166,-1.9999406852238562,-0.5000009962431227
1751759742.4809902,-2.1232781828467253,-0.5264282509495867,-1.9999406448080195,-0.5000009961357449
1751759742.5817008,-2.100191487577028,-0.5176213297355149,-1.9999406534137012,-0.5000009962047897
1751759742.6519306,-2.152447278485542,-0.5460105698316424,-1.999940678499364,-0.5000009962622445
1751759742.7519195,-2.106133586690448,-0.5352280627927052,-1.9999406572438234,-0.500000996193735
1751759742.8213897,-2.149505224267724,-0.5449180078638556,-1.9999406281937993,-0.5000009962145482
1751759742.9219952,-2.1478976607138094,-0.5415710774602027,-1.999940650368118,-0.5000009962867937
1751759742.991727,-2.135961994327803,-0.5404854881476641,-1.9999406473824282,-0.5000009962240638
1751759743.092747,-2.10834799158789,-0.5301755190401202,-1.9999406094211927,-0.5000009962707609
1751759743.163093,-2.1625029267415634,-0.5453924518134956,-1.999940626787036,-0.500000996330399
1751759743.2627394,-2.1110943460381084,-0.5363184324431628,-1.9999406406217384,-0.5000009962558836
1751759743.3325481,-2.139423404555064,-0.5386851353379896,-1.9999405964873858,-0.5000009963349292
1751759743.433123,-2.1410515444969866,-0.534255212891519,-1.9999406033630214,-0.5000009962739708
1751759743.5024498,-2.132703942056549,-0.5422421427077634,-1.9999406185872106,-0.500000996326633
1751759743.6041543,-2.130624819655926,-0.5334901660370305,-1.9987860335978194,-0.500000999970326
1751759743.6729803,-2.18434617498608,-0.5475714057380177,-1.9945503119514099,-0.4999829779551104
1751759743.7734277,-2.1402817070616273,-0.5355493151599625,-1.9875898940319041,-0.49969233021145876
1751759743.8440382,-2.1396143855373895,-0.5323829000032134,-1.9795199527629048,-0.4988951458619622
1751759743.9437113,-2.04807471713961,-0.5181816158161462,-1.96345953265399,-0.49629191209855505
1751759744.0132625,-2.072906110208922,-0.5297364157588819,-1.951813434698089,-0.49339705332259326
1751759744.1143398,-2.065901357693845,-0.5242970352061117,-1.933795794874326,-0.487344917094699
1751759744.1841094,-2.038625501746134,-0.5186100287326211,-1.9230770314297811,-0.48269720218228823
1751759744.2845514,-2.0629541469802515,-0.5135411490554823,-1.9050573848511823,-0.47301028628841485
1751759744.3542473,-2.022372564874082,-0.4988401466227394,-1.8939507951473833,-0.4657696469073802
1751759744.4547832,-1.9906387698764574,-0.47870296578842514,-1.876489694676313,-0.45215887722811204
1751759744.524035,-1.9888122677072584,-0.475836279000641,-1.8662226693370272,-0.44270730682086396
1751759744.6250372,-1.992957751431958,-0.4735494339638482,-1.8513970982625017,-0.42679812790265653
1751759744.6952589,-2.009693246040399,-0.45542695787501064,-1.8427747948257636,-0.4158473752846296
1751759744.7954745,-1.9596394909439547,-0.42342498291551983,-1.8314899063678383,-0.39865727619779917
1751759744.8652568,-1.9733864292918923,-0.41373987846070026,-1.8243143602996823,-0.38565683858227745
1751759744.966024,-1.9451029677059153,-0.39564968066732736,-1.8150275703264398,-0.3654220296371384
1751759745.0352583,-1.9250753353056327,-0.37711152429587697,-1.810226238808104,-0.3525781146199619
1751759745.1359143,-1.9363432886748793,-0.3648380974966581,-1.804099125439156,-0.3319534048039523
1751759745.2053635,-1.927365111327704,-0.34029066036380745,-1.8005272608547078,-0.31746744379871333
1751759745.3059428,-1.8944310108051523,-0.32274925027032525,-1.7963387144451988,-0.29593760626711624
1751759745.375788,-1.907345505239522,-0.2999316198700944,-1.7942788225310244,-0.282016135659852
1751759745.4765031,-1.9497119250982424,-0.28610041735091335,-1.7920209082373624,-0.25988470437913286
1751759745.5465581,-1.929811670930132,-0.25493365001268536,-1.7911421690255818,-0.2459054261634387
1751759745.646569,-1.9360409608170714,-0.24420484413947924,-1.7904445903760209,-0.2239385959241594
1751759745.716432,-1.9182361596968247,-0.21583950633130577,-1.7902810034265095,-0.2090199869709831
1751759745.8167572,-1.9144639252985218,-0.21092697879560857,-1.7906922167376922,-0.18663242819662976
1751759745.8871665,-1.8924733828153397,-0.17922345556009878,-1.7911496643318945,-0.1716944332485345
1751759745.9875226,-1.910658910194763,-0.17038542078221147,-1.792394537726502,-0.1493439294161824
1751759746.0574865,-1.9213261712513636,-0.14731914091054002,-1.7934255332834828,-0.13443570772279564
1751759746.1577954,-1.8884668682544972,-0.12635319912644138,-1.7953287368494077,-0.11212241228639774
1751759746.2272944,-1.9538336668819,-0.10882310443312271,-1.7968078703079524,-0.09723230433360104
1751759746.3280456,-1.9557067478715766,-0.09983876494823854,-1.7989418053777995,-0.07489363032231562
1751759746.3978794,-1.914880583063022,-0.07084091018795786,-1.8004558649718452,-0.06042626042908466
1751759746.499094,-1.9105859696026424,-0.05989462055968592,-1.8029497540767423,-0.038943143382241516
1751759746.568034,-1.913952305844437,-0.03206883776126017,-1.804747197325102,-0.02409091335936335
1751759746.6686327,-1.9345058088709837,-0.015361717294158033,-1.80771429649048,-0.0018869752825593266
1751759746.7385235,-1.8988800919262285,0.01928696920702197,-1.8098007872243038,0.012945014821522214
1751759746.8388455,-1.9400253790129367,0.03289050523375944,-1.812751390052071,0.03439070220569394
1751759746.9088998,-1.9473578277891366,0.05565693617900582,-1.814620408434109,0.04804506442228856
1751759747.00903,-1.9546249691295094,0.060593109933748175,-1.8174162852366178,0.06832688132109294
1751759747.0788398,-1.927260004372208,0.08610754442002236,-1.8193265765164013,0.08237177499842704
1751759747.1788802,-1.9218197557838022,0.10847176655084693,-1.8219855683452983,0.10227597978827274
1751759747.249432,-1.9352485923449751,0.1264582497843167,-1.823880968432758,0.11711012317959661
1751759747.3497612,-1.9721919328122224,0.14047810083336393,-1.8262726526024387,0.1386381397773513
1751759747.41945,-1.9663241168586245,0.16400978572494848,-1.8277024317413808,0.15352911061099794
1751759747.5205598,-1.971238317088304,0.17080521451549352,-1.829454402403434,0.17512172507538373
1751759747.5903587,-1.9651431109597028,0.20535116065387435,-1.8303622447744905,0.1888674750406984
1751759747.6913626,-1.9718440930911934,0.22243570719481012,-1.8314905354075413,0.2092996282927817
1751759747.7612948,-1.9443760249456037,0.2386742361834878,-1.8322573496755081,0.22343898691736008
1751759747.8617165,-1.9597805396793646,0.24728762948303062,-1.833386932746167,0.2434564192166894
1751759747.9316044,-2.008351200888758,0.2788258795102887,-1.8342124216985063,0.25835699213587365
